datum,isbn,butik,pris
2025-04-09,9789147143979,adlibris,456
2025-04-09,9789147143979,studentapan,535
2025-04-09,9789147143979,bokus,561.60
2025-04-09,9789147143979,akademibokhandeln,539.10
2025-04-09,9789180660037,adlibris,270
2025-04-09,9789180660037,studentapan,-
2025-04-09,9789180660037,bokus,255.55
2025-04-09,9789180660037,akademibokhandeln,325.10
2025-04-09,9789144176048,adlibris,515
2025-04-09,9789144176048,studentapan,455
2025-04-09,9789144176048,bokus,499.50
2025-04-09,9789144176048,akademibokhandeln,530.10
2025-04-09,9789139117926,adlibris,277
2025-04-09,9789139117926,studentapan,465
2025-04-09,9789139117926,bokus,494.10
2025-04-09,9789139117926,akademibokhandeln,530.10
2025-04-09,9789139030140,adlibris,291
2025-04-09,9789139030140,studentapan,275
2025-04-09,9789139030140,bokus,325.80
2025-04-09,9789139030140,akademibokhandeln,422.10
2025-04-09,9789139030140,adlibris,291
2025-04-09,9789139030140,studentapan,275
2025-04-09,9789139030140,adlibris,291
2025-04-09,9789139030140,studentapan,275
2025-04-09,9789139030140,bokus,325.80
2025-04-09,9789139030140,akademibokhandeln,422.10
2025-04-09,"@app.route(""/skanna-enskild"", methods=[""POST""]) def skanna_enskild():     isbn = request.form.get(""isbn"")      titel, adlibris_price = get_adlibris_info(isbn)     studentapan_price = get_price_studentapan(isbn)     print(""🔍 Hämtar pris från Studentapan..."")     bokus_price = get_price_bokus(isbn)     akademibok_price = get_price_akademibokhandeln(isbn)      def text_to_float(text):         try:             return float(text.replace(""kr"", """").replace(""\xa0"", """").replace("" "", """").replace("","", ""."").split(""("")[0].strip())         except:             return 0.0      studentapan_total = text_to_float(studentapan_price)     adlibris_total = text_to_float(adlibris_price)      fixed_fee_studentapan = 72     fixed_fee_adlibris = 49      vinst_studentapan = (studentapan_total - fixed_fee_studentapan) / 1.19 if studentapan_total > 0 else 0     vinst_adlibris = adlibris_total * 0.82 - fixed_fee_adlibris if adlibris_total > 0 else 0      html = f""""""     <html>     <head>         <title>📘 Prisjämförelse</title>         <style>             body {{                 font-family: 'Segoe UI', sans-serif;                 background-color: #0d4954;                 color: #333;                 padding: 40px;                 text-align: center;             }}             .container {{                 background-color: white;                 max-width: 700px;                 margin: auto;                 padding: 30px;                 border-radius: 16px;                 box-shadow: 0 4px 12px rgba(0,0,0,0.1);             }}             h1 {{ color: #2c3e50; }}             ul {{                 list-style-type: none;                 padding: 0;                 margin-top: 30px;             }}             li {{                 background-color: #f0f0f0;                 margin: 10px 0;                 padding: 15px;                 border-radius: 10px;                 font-size: 18px;             }}             a {{                 display: inline-block;                 margin-top: 30px;                 text-decoration: none;                 color: white;                 background-color: #167d37;                 padding: 10px 20px;                 border-radius: 8px;                 transition: background-color 0.3s;             }}             a:hover {{ background-color: #2980b9; }}             .price {{ font-weight: bold; }}             .vinst {{ color: green; font-weight: bold; }}         </style>     </head>     <body>         <div class=""container"">             <h1>📘 Prisjämförelse för<br>{titel} <br><span style=""font-size:16px; color:#777e;"">(ISBN: {isbn})</span></h1>             <ul>                 <li>                     <a href=""{store_links['adlibris']}"" target=""_blank""><strong>📕 Adlibris Campus</strong></a><br>                     <span class=""price"">{adlibris_price}</span><br>                     Försäljningspris: <span class=""vinst"">{vinst_adlibris:.2f} kr</span>                 </li>                 <li>                     <a href=""{store_links['studentapan']}"" target=""_blank""><strong>📘 Studentapan</strong></a><br>                     <span class=""price"">{studentapan_price}</span><br>                     Försäljningspris: <span class=""vinst"">{vinst_studentapan:.2f} kr</span>                 </li>                 <li>                     <a href=""{store_links['bokus']}"" target=""_blank""><strong>📗 Bokus</strong></a><br>                     <span class=""price"">{bokus_price}</span><br>                     Försäljningspris: <span class=""vinst"">Ej tillgänglig</span>                 </li>                 <li>                     <a href=""{store_links['akademibokhandeln']}"" target=""_blank""><strong>🏫 Akademibokhandeln</strong></a><br>                     <span class=""price"">{akademibok_price}</span><br>                     Försäljningspris: <span class=""vinst"">Ej tillgänglig</span>                 </li>             </ul>              <!-- 📊 Inbäddade grafer -->             <div style=""margin-top: 40px;"">                 <h3 style=""color: #2c3e50;"">📊 Försäljningsgraf</h3>                 <img src=""/forsaljning-embed?isbn={isbn}"" alt=""Försäljningsgraf""                      style=""max-width: 100%; border-radius: 12px; border: 1px solid #ccc;                             box-shadow: 0 2px 8px rgba(0,0,0,0.1);"">             </div>             <div style=""margin-top: 40px;"">                 <h3 style=""color: #2c3e50;"">📈 Inköpsgraf</h3>                 <img src=""/inkop-embed?isbn={isbn}"" alt=""Inköpsgraf""                      style=""max-width: 100%; border-radius: 12px; border: 1px solid #ccc;                             box-shadow: 0 2px 8px rgba(0,0,0,0.1);"">             </div>              <!-- ⬅️ Skanna ny bok -->             <div style=""margin-top: 30px;"">                 <a href=""/"" style=""text-decoration: none; color: white; background-color: #167d37;                    padding: 10px 15px; border-radius: 8px; font-weight: bold;"">                     ⬅️ Skanna en annan bok                 </a>             </div>         </div>     </body>     </html>     """"""     return html",studentapan,0
